compiler,opt,pattern,depth,loads,branches,basic_blocks,instructions
clang,O0,plain,2,3,0,1,8
clang,O0,plain,3,4,0,1,9
clang,O0,plain,5,6,0,1,11
clang,O0,plain,8,9,0,1,14
clang,O0,const,2,3,0,1,8
clang,O0,const,3,4,0,1,9
clang,O0,const,5,6,0,1,11
clang,O0,const,8,9,0,1,14
clang,O0,dyn,2,5,0,1,12
clang,O0,dyn,3,7,0,1,15
clang,O0,dyn,5,11,0,1,21
clang,O0,dyn,8,20,0,1,30
clang,O0,checks,2,6,4,5,22
clang,O0,checks,3,9,6,7,31
clang,O0,checks,5,15,10,11,49
clang,O0,checks,8,27,16,17,76
clang,O2,plain,2,2,0,1,3
clang,O2,plain,3,3,0,1,4
clang,O2,plain,5,5,0,1,6
clang,O2,plain,8,8,0,1,9
clang,O2,const,2,2,0,1,3
clang,O2,const,3,3,0,1,4
clang,O2,const,5,5,0,1,6
clang,O2,const,8,8,0,1,9
clang,O2,dyn,2,2,0,1,5
clang,O2,dyn,3,3,0,1,7
clang,O2,dyn,5,5,0,1,11
clang,O2,dyn,8,11,0,1,17
clang,O2,checks,2,2,2,2,10
clang,O2,checks,3,3,3,2,14
clang,O2,checks,5,5,5,2,22
clang,O2,checks,8,11,8,2,34
gcc,O0,plain,2,3,0,1,9
gcc,O0,plain,3,4,0,1,10
gcc,O0,plain,5,6,0,1,12
gcc,O0,plain,8,9,0,1,15
gcc,O0,const,2,3,0,1,10
gcc,O0,const,3,4,0,1,12
gcc,O0,const,5,6,0,1,16
gcc,O0,const,8,9,0,1,22
gcc,O0,dyn,2,5,0,1,19
gcc,O0,dyn,3,7,0,1,25
gcc,O0,dyn,5,11,0,1,37
gcc,O0,dyn,8,17,0,1,52
gcc,O0,checks,2,6,2,3,27
gcc,O0,checks,3,9,3,4,38
gcc,O0,checks,5,15,5,6,60
gcc,O0,checks,8,24,8,9,90
gcc,O2,plain,2,2,0,1,4
gcc,O2,plain,3,3,0,1,5
gcc,O2,plain,5,5,0,1,7
gcc,O2,plain,8,8,0,1,10
gcc,O2,const,2,2,0,1,4
gcc,O2,const,3,3,0,1,5
gcc,O2,const,5,5,0,1,7
gcc,O2,const,8,8,0,1,10
gcc,O2,dyn,2,2,0,1,6
gcc,O2,dyn,3,3,0,1,8
gcc,O2,dyn,5,5,0,1,12
gcc,O2,dyn,8,11,0,1,18
gcc,O2,checks,2,2,2,3,11
gcc,O2,checks,3,3,3,3,15
gcc,O2,checks,5,5,5,3,23
gcc,O2,checks,8,11,8,3,35
